Accession_Name,Varietal _Group,Subpopulation_3K-RG,Wet_mean,Dry_mean,Difference,Log2FC
SULTANJATA,INDICA,circum-Aus,15.33,3.0,-12.33,-2.18
Dom Sufid,JAPONICA,circum-Basmati,7.0,15.0,8.0,1.05
CUBA 65,JAPONICA,Tropical japonica,5.67,13.0,7.33,1.13
TAK SIAH,JAPONICA,circum-Basmati / Admixed,11.67,4.33,-7.33,-1.33
TAK,INDICA,circum-Aus,3.0,10.0,7.0,1.58
DOM-ZARD,JAPONICA,circum-Basmati,11.33,5.0,-6.33,-1.11
TCHAMPA_2,INDICA,circum-Aus,3.33,9.67,6.33,1.41
Bico Branco,JAPONICA,Tropical japonica,4.0,10.0,6.0,1.22
PADI KASALLE,JAPONICA,Tropical japonica,3.67,9.67,6.0,1.29
S 624(AC 398),INDICA,Indica 2,8.67,2.67,-6.0,-1.53
AICHI ASAHI,JAPONICA,Temperate japonica,4.67,10.67,6.0,1.11
GHATI KAMMA NANGARHAR,INDICA,circum-Aus,9.33,3.67,-5.67,-1.24
63-104,JAPONICA,Tropical japonica,7.67,2.33,-5.33,-1.53
NEP HOA VANG,JAPONICA,Japonica admixed,7.67,2.33,-5.33,-1.53
Cypress,JAPONICA,Tropical japonica,10.0,4.67,-5.33,-1.02
HU SHAN NUO,JAPONICA,Temperate japonica,5.33,10.0,4.67,0.85
Sahod Ulan 20,INDICA,Indica 1b,2.0,6.67,4.67,1.52
BASMATI 1,JAPONICA,circum-Basmati,9.67,5.0,-4.67,-0.89
IS49 / TOS7564,JAPONICA,circum-Basmati / Admixed,1.33,5.67,4.33,1.75
DHOLI BORO,INDICA,circum-Aus,8.67,4.33,-4.33,-0.92
